,,Batch1,Batch2,Batch3,Batch4,Batch5,Batch6,Batch7,TotalAvg
,Max,12.04911237,16.64977106,16.78407325,9.317833337,9.990188102,13.43634527,10.49437603,16.78407325
,Min,-11.96586601,-16.12453346,-16.22552336,-9.273601628,-9.263176533,-9.712153079,-10.17652356,-16.22552336
,STD,3.253758356,3.223203133,4.19449764,2.901819141,2.823534754,3.014136017,2.730506609,3.1960551
,Variance,10.58694344,10.38903843,17.59381045,8.420554328,7.972348508,9.085015931,7.455666344,10.2147682
,Range,24.01497838,32.77430451,33.00959661,18.59143497,19.25336463,23.14849835,20.67089959,33.00959661
,Skewness,-0.04901216,0.054735584,-0.002061536,0.02653458,-0.020742013,0.054928868,0.016207705,0.053030428
,Kurtosis,3.276010501,4.857760027,4.012648687,3.121482657,3.343851044,3.880597505,3.303078813,4.205069132
Sample7,Net Mean,0.007100835,-0.009890419,0.00856887,0.003353532,-0.00622057,-0.002599042,-0.002077116,-0.000251987
,Median,0.104109089,-0.006130494,-0.039201767,0.077899561,-0.053252383,0.04472838,0.021424748,0.021424748
,Max,15.27059856,21.53467976,12.08338633,11.54953981,9.57923731,9.819983937,11.58602453,21.53467976
,Min,-16.14883544,-16.10190349,-17.4369343,-11.42578601,-12.34378481,-8.689820565,-11.42851541,-17.4369343
,STD,3.738163513,3.970881784,3.892141917,3.220891005,2.999292183,3.032872814,3.128894278,3.448575828
,Variance,13.97386645,15.76790214,15.1487687,10.37413886,8.9957536,9.198317506,9.789979404,11.89267524
,Range,31.419434,37.63658326,29.52032063,22.97532581,21.92302212,18.5098045,23.01453994,38.97161406
,Skewness,-0.077852336,-0.002840622,0.036820834,-0.069433609,0.047042913,-0.046814448,-0.022533709,-0.018857119
,Kurtosis,4.226789551,5.060852585,3.544465868,3.231116505,3.132630783,2.971234944,3.152981237,4.092579414
Sample8,Net Mean,-0.066426206,-0.061242377,-0.052276642,-0.07703139,-0.081863798,-0.064077223,-0.075256185,-0.068310546
,Median,-0.15541135,-0.003705174,0.020370439,-0.137822549,-0.203357203,0.145011915,0.033083289,-0.203357203
,Max,19.07552977,27.38736009,19.86463579,21.69277973,17.98524984,14.70529026,14.53264369,27.38736009
,Min,-29.44591538,-25.04523057,-19.93768434,-20.47123758,-16.88691004,-20.33108223,-16.70492219,-29.44591538
,STD,4.854030993,5.256502662,5.395004968,4.692853838,4.60756345,4.667656975,4.599967072,4.877027088
,Variance,23.56161688,27.63082024,29.1060786,22.02287715,21.22964095,21.78702164,21.15969706,23.78539322
,Range,48.52144515,52.43259066,39.80232012,42.16401731,34.87215988,35.03637249,31.23756588,56.83327547
,Skewness,0.054996648,-0.032837729,-0.040396857,0.038861955,0.079104763,-0.134385928,-0.070656685,0.083071093
,Kurtosis,5.33915725,5.304745952,3.700094351,3.910839692,3.496778889,3.490529426,3.018040205,4.199142869
Sample9,Net Mean,-0.008144772,-0.017392584,0.009091859,-0.01231748,-0.010969963,-0.018822355,-0.016612671,-0.010738281
,Median,-0.084172093,0.088017259,-0.089614025,-0.048289417,-0.031279544,0.066587303,0.002961619,-0.089614025
,Max,14.07173832,24.48906767,14.6454332,10.47756558,10.27950472,10.37596873,12.50558755,24.48906767
,Min,-13.56912558,-15.30090084,-13.25819551,-11.03708941,-11.47989653,-11.56744584,-11.63299683,-15.30090084
,STD,3.838515915,4.036993345,4.0839169,3.323196879,3.191766741,3.341048758,3.620920515,3.649160012
,Variance,14.73420443,16.29731527,16.67837725,11.0436375,10.18737493,11.1626068,13.11106538,13.31636879
,Range,27.6408639,39.78996851,27.90362871,21.51465499,21.75940125,21.94341457,24.13858438,39.78996851
,Skewness,0.059419309,-0.078332933,0.072508247,0.032473493,0.019089347,-0.076691181,-0.016217664,0.064844302
,Kurtosis,3.365264417,5.403700003,3.155954801,3.024055388,2.838091188,3.284291923,3.232395804,3.763824414
Sample10,Net Mean,0.046859604,0.027209062,0.04374903,0.048574801,0.04019552,0.035537347,0.039265851,0.040198745
,Median,0.117897146,0.017181418,0.09926142,-0.009977214,0.044114923,0.055232452,-0.05320939,0.044114923
,Max,10.06186927,11.50853901,15.84011934,9.671217974,7.995655816,8.677972766,10.57114227,15.84011934
,Min,-10.66708372,-9.043080563,-11.902444,-11.46643308,-8.021632656,-10.7671395,-9.450335239,-11.902444
,STD,2.819024513,2.912160273,3.399016382,2.565279661,2.369666124,2.384407534,2.756679818,2.763578147
,Variance,7.946899203,8.480677455,11.55331236,6.580659739,5.61531754,5.685399291,7.599283618,7.637364173
,Range,20.72895299,20.55161958,27.74256334,21.13765106,16.01728847,19.44511227,20.02147751,27.74256334
,Skewness,-0.075598004,0.010330108,-0.048995695,0.068474423,-0.00496197,-0.024779873,0.10063763,-0.004251204
,Kurtosis,4.001051901,3.535671361,3.92005667,3.86084586,3.01816151,3.768044714,3.329726194,3.934960193
Sample11,Net Mean,0.021725357,0.020835391,0.027305456,0.029717044,0.031169087,0.01376066,0.018519331,0.023290332
,Median,-0.02955962,0.152149437,-0.158330375,0.082033674,0.221302194,-0.076869021,-0.040313657,-0.158330375
,Max,23.38921107,20.45096701,19.63192759,24.53999995,11.61036691,22.43300734,16.95716598,24.53999995
,Min,-18.00075538,-22.85161047,-17.93313789,-17.94933416,-14.99546951,-17.25633736,-20.04279685,-22.85161047
,STD,4.565223057,4.919692475,5.510024142,4.57983737,3.842359671,4.524390141,4.381717165,4.641631353
,Variance,20.84126156,24.20337405,30.36036604,20.97491034,14.76372784,20.47010615,19.19944531,21.54474161
,Range,41.38996645,43.30257748,37.56506548,42.48933411,26.60583642,39.6893447,36.99996283,47.39161042
,Skewness,0.033701514,-0.080074545,0.101071697,-0.034269752,-0.148450267,0.060094076,0.040280775,0.11738591
,Kurtosis,4.612552612,4.441906374,3.5209172,4.869565949,3.068007423,4.380679798,3.65601652,4.261119769
Sample12,Net Mean,-0.018172527,-0.012377377,-0.00581866,-0.031170173,-0.017033195,-0.024596136,-0.020503527,-0.018524514
,Median,-0.071374447,0.167461144,0.010085109,-0.247847874,0.102730182,-0.033310138,-0.134281472,-0.247847874
,Max,17.54359734,13.37259956,25.5057089,17.32555592,11.25158728,13.62975591,14.61956292,25.5057089
,Min,-12.8840534,-16.05670799,-21.40758525,-13.85514676,-13.92744904,-13.07423102,-16.09197674,-21.40758525
,STD,4.288240269,4.476537191,5.784128366,4.49519684,3.927623249,4.478955674,4.774142586,4.634822098
,Variance,18.38900461,20.03938522,33.45614095,20.20679463,15.42622439,20.06104393,22.79243744,21.48157588
,Range,30.42765074,29.42930755,46.91329415,31.18070268,25.17903632,26.70398693,30.71153966,46.91329415
,Skewness,0.037219407,-0.120520738,-0.00824866,0.144606149,-0.091477748,0.005836629,0.071496363,0.148435057
,Kurtosis,3.415432796,3.200310124,3.874467739,3.046129634,2.891855812,2.801845348,3.169042409,3.554789024
Sample13,Net Mean,0.02839609,0.017724138,0.019816837,0.0318894,0.013818996,0.012858275,0.01541964,0.019989054
,Median,0.170621611,-0.068774194,-0.021938099,-0.139610542,0.145951459,0.089489947,0.053123584,0.053123584
,Max,16.71969145,17.23306176,19.93464007,15.4419398,15.98419757,15.09172695,19.18084982,19.93464007
,Min,-16.58898225,-22.31623298,-16.45875062,-16.06274524,-13.42997542,-15.33380546,-19.47643713,-22.31623298
,STD,4.578582547,4.614294494,5.68536503,4.226957398,4.023813535,4.379219619,4.469829756,4.594930344
,Variance,20.96341814,21.29171368,32.32337552,17.86716884,16.19107536,19.17756447,19.97937805,21.11338487
,Range,33.30867369,39.54929474,36.39339068,31.50468504,29.41417299,30.4255324,38.65728694,42.25087305
,Skewness,-0.093189663,0.056237198,0.022032852,0.121718716,-0.098512862,-0.0524968,-0.025305624,-0.021633318
,Kurtosis,3.206328398,4.115682187,3.180327863,3.278820945,3.167703664,3.204185841,4.151379534,3.624622497
Sample14,Net Mean,0.022732457,0.022943273,0.018821228,0.030745562,0.0161473,0.007800418,0.02317271,0.020337564
,Median,0.054370937,0.03300669,-0.153154576,-0.028306783,0.116613929,-0.114098062,-0.019940057,-0.153154576
,Max,17.17602451,13.46966612,20.48558986,14.62312618,17.97164724,14.66004384,16.67942141,20.48558986
,Min,-15.55470727,-16.83948764,-19.6742102,-16.75866372,-16.01773026,-12.5190426,-17.40118855,-19.6742102
,STD,4.534891119,4.468713968,5.661194801,4.389149523,4.403264368,4.532101089,4.25959243,4.627884539
,Variance,20.56523746,19.96940453,32.04912658,19.26463354,19.3887371,20.53994029,18.14412767,21.41731531
,Range,32.73073177,30.30915376,40.15980006,31.3817899,33.9893775,27.17908644,34.08060996,40.15980006
,Skewness,-0.020930037,-0.006755915,0.091134015,0.040362497,-0.068449191,0.080690044,0.030364008,0.112465299
,Kurtosis,3.508810455,3.173815568,3.109448833,2.997884918,3.248925184,2.827829706,3.768223924,3.335810644
Sample15,Net Mean,-0.003358065,-0.012545954,-0.016338314,-0.002321844,-0.018162888,-0.017739107,-0.009047794,-0.011359138
,Median,0.090285063,-0.008768479,-0.136379183,0.096763277,0.014906441,-0.070321476,-0.072198817,-0.136379183
,Max,12.74837863,12.81197241,16.15591026,10.90679766,17.50805713,16.46615577,15.28685201,17.50805713
,Min,-14.10271707,-16.37872555,-19.36109737,-16.31208154,-14.66602071,-11.25191265,-11.93158907,-19.36109737
,STD,4.154297749,4.141701791,5.356182665,3.873074938,4.149146383,4.067208086,3.687596865,4.233493216
,Variance,17.25818979,17.15369372,28.68869274,15.00070948,17.21541571,16.54218162,13.59837064,17.92246481
,Range,26.8510957,29.19069796,35.51700763,27.2188792,32.17407785,27.71806842,27.21844108,36.8691545
,Skewness,-0.067623796,-0.002736176,0.067234938,-0.07674919,-0.023910457,0.038785108,0.051375754,0.088593536
,Kurtosis,3.104808211,3.126928472,2.977812022,2.968448593,3.528098618,3.108394133,3.879880671,3.369949342
Sample16,Net Mean,0.044056288,0.009849763,0.030268963,0.050108743,0.028299699,0.026377372,0.027449113,0.030915706
,Median,0.073193218,0.119356595,0.000910179,0.088141712,-0.042907901,0.052160972,0.039739643,0.052160972
,Max,12.47397209,13.33464506,18.22934141,9.708734538,9.519528939,10.80175125,10.45275915,18.22934141
,Min,-10.68540924,-15.02799515,-13.76231428,-9.477542082,-11.60116503,-10.1103848,-11.3862685,-15.02799515
,STD,3.139517031,3.443516171,4.117773453,2.777554803,2.875533647,2.866993252,3.027006334,3.207944404
,Variance,9.856567191,11.85780362,16.95605821,7.714810682,8.268693754,8.219650309,9.162767343,10.2909073
,Range,23.15938133,28.36264021,31.9916557,19.18627662,21.12069397,20.91213605,21.83902765,33.25733656
,Skewness,-0.027842114,-0.095402629,0.021389315,-0.041078904,0.074289793,-0.026979764,-0.012180876,-0.019868112
,Kurtosis,3.048676536,4.399237304,3.688828172,3.496491663,3.659923623,3.618713506,3.42337892,4.000382143
Sample17,Net Mean,-0.029075358,-0.001524947,-0.029937961,-0.03963588,-0.027556722,-0.018423952,-0.01885223,-0.023572436
,Median,-0.028955055,0.08004123,-0.130723655,0.054781278,-0.179564486,-0.062401408,0.050521134,-0.179564486
,Max,15.979615,19.08538171,19.97474169,17.55303616,14.10872834,17.04458409,13.77541891,19.97474169
,Min,-21.61726798,-19.61370402,-19.45822385,-17.72084958,-12.55759849,-20.32804812,-13.40997099,-21.61726798
,STD,4.247453588,4.446470109,5.401852729,4.401070319,3.855263438,4.543608028,3.884865548,4.423331028
,Variance,18.04086198,19.77109643,29.1800129,19.36941995,14.86305617,20.64437391,15.09218032,19.56585738
,Range,37.59688297,38.69908573,39.43296554,35.27388573,26.66632683,37.37263221,27.1853899,41.59200967
,Skewness,-0.000085,-0.055032087,0.055972848,-0.064359679,0.118285897,0.029036917,-0.05357202,0.105797226
,Kurtosis,4.406541999,3.916549702,3.314765965,4.084530646,3.207007927,3.990622549,3.224020399,3.904676175
Sample18,Net Mean,-0.024655194,-0.002606406,-0.039073268,-0.020650804,-0.019011648,-0.008910143,-0.020179544,-0.019298144
,Median,0.015684735,-0.066707578,0.101830396,0.176261318,0.090827068,0.029110953,-0.051559936,0.029110953
,Max,18.99665177,20.28909149,16.76238261,13.21448609,10.85792622,12.57148209,11.1360435,20.28909149
,Min,-23.9683902,-22.1259644,-14.21450756,-13.55274923,-12.86622416,-12.8504398,-12.42552575,-23.9683902
,STD,4.215138366,4.360727022,4.618750196,3.969823229,3.843250414,3.979646987,3.778993249,4.119026156
,Variance,17.76739145,19.01594016,21.33285338,15.75949647,14.77057374,15.83759014,14.28078998,16.96637647
,Range,42.96504197,42.4150559,30.97689017,26.76723531,23.72415039,25.42192189,23.56156924,44.25748169
,Skewness,-0.02871075,0.044098958,-0.091520644,-0.148806718,-0.085738922,-0.02866166,0.024911708,-0.035257676
,Kurtosis,5.25479589,5.158737278,3.192336949,3.173882724,3.05754495,3.107087039,3.122991328,3.89510459
Sample19,Net Mean,-0.009800709,-0.008629716,-0.028695082,0.004070352,-0.023473173,-0.007330663,-0.014295358,-0.012593478
,Median,-0.014983312,-0.021823398,-0.025220657,-0.107052923,-0.041734873,0.019053113,0.071224139,-0.041734873
,Max,11.34146737,13.22278641,30.63602144,10.8840121,12.13281796,12.16275825,11.17158479,30.63602144
,Min,-14.5798929,-13.38704708,-19.90280888,-15.6883223,-13.29372799,-11.1789452,-12.58443398,-19.90280888
,STD,3.826724909,3.898438492,5.985453564,3.926034992,3.874185145,3.902291305,3.641171915,4.21860458
,Variance,14.64382353,15.19782268,35.82565437,15.41375075,15.00931054,15.22787743,13.25813291,17.7966246
,Range,25.92136027,26.60983349,50.53883032,26.57233441,25.42654595,23.34170344,23.75601877,50.53883032
,Skewness,0.004062955,0.010153052,-0.001741435,0.084912597,0.014141064,-0.020283296,-0.070460417,0.020723484
,Kurtosis,3.255325092,3.233962714,5.262790163,3.235325048,3.251535925,2.924219796,3.019047679,4.920820125
Sample20,Net Mean,-0.004884412,-0.007147984,-0.022902045,-0.007580147,-0.022956518,-0.000931086,-0.010421246,-0.010974777
,Median,0.039752908,0.065575339,0.078922592,-0.000523019,-0.035173347,0.138409387,-0.109503272,0.039752908
,Max,12.08737032,14.02190182,27.79810904,16.44010765,14.00494681,15.58716217,12.50792614,27.79810904
,Min,-16.15254211,-15.33251354,-25.14080385,-17.86605416,-12.36148337,-16.17572522,-12.96810024,-25.14080385
,STD,4.116867558,4.446594827,5.977051843,4.327455024,3.90106248,4.601297547,4.066379711,4.537124503
,Variance,16.94859849,19.77220555,35.72514873,18.72686699,15.21828848,21.17193911,16.53544395,20.58549876
,Range,28.23991243,29.35441535,52.93891288,34.30616181,26.36643019,31.7628874,25.47602637,52.93891289
,Skewness,-0.032527634,-0.049064504,-0.05110779,-0.004892341,0.009395001,-0.090848595,0.073098456,-0.033541741
,Kurtosis,3.426777219,3.122960606,4.541322303,3.9668492,3.163472638,3.354131624,2.992871796,4.196043288
Sample21,Net Mean,-0.006973042,0.005850757,-0.000928342,-0.026339675,0.005435279,-0.001189969,0.006260629,-0.002554909
,Median,0.085753037,0.068993158,0.142786167,0.113665047,-0.059165273,0.142431018,0.00983912,0.085753037
,Max,17.03197392,14.79835945,15.68189648,12.7068431,15.27120664,14.43964517,13.99289606,17.03197392
,Min,-21.7868836,-22.2177361,-20.78437717,-12.33504336,-12.47061202,-17.2078797,-16.82180704,-22.2177361
,STD,4.202480079,4.351555977,4.667695714,3.649161883,3.64886243,4.105761838,4.05994868,4.111921771
,Variance,17.66083881,18.93603942,21.78738328,13.31638245,13.31419703,16.85728027,16.48318328,16.90790065
,Range,38.81885752,37.01609555,36.46627365,25.04188646,27.74181866,31.64752488,30.8147031,39.24971002
,Skewness,-0.066193827,-0.043530913,-0.092367531,-0.115098803,0.053112897,-0.104941051,-0.002644239,-0.064428229
,Kurtosis,4.342304924,4.030861596,3.870797044,3.09624306,3.31148867,3.663502539,3.187089289,3.837917458
Sample22,Net Mean,-0.004500382,0.005098118,0.002182929,-0.008906373,0.011807619,0.008546102,0.006976346,0.003029194
,Median,-0.038627756,-0.057162893,0.106933634,0.018951506,0.01188856,-0.073339578,0.016796875,0.01188856
,Max,14.72893543,10.65209256,14.90956424,10.40788649,10.20986291,10.27651203,11.38260709,14.90956424
,Min,-18.19342175,-17.93064102,-16.9561645,-10.99149914,-10.23182143,-12.24776199,-11.7724011,-18.19342175
,STD,3.557057123,3.863860562,3.81778377,3.130674594,3.047900061,3.248663348,3.269019806,3.432797047
,Variance,12.65265538,14.92941844,14.57547291,9.801123417,9.289694781,10.55381355,10.68649049,11.78409557
,Range,32.92235718,28.58273358,31.86572874,21.39938564,20.44168434,22.52427402,23.1550082,33.10298599
,Skewness,0.028782817,0.048341039,-0.082312707,-0.02669509,-0.0000797,0.075617881,-0.009012361,-0.007742403
,Kurtosis,4.003456512,4.175984926,3.828860225,3.010218318,3.075351244,3.005269475,3.201376133,3.744655973
Sample23,Net Mean,0.010659033,-0.007961767,-0.01553696,0.019326669,-0.008564005,-0.000464315,-0.000889211,-0.000490079
,Median,-0.105008433,-0.049827307,-0.121922201,0.027337864,-0.017650977,0.149492542,-0.040518693,-0.105008433
,Max,10.84959694,13.59221602,23.68441594,13.80602785,11.76322407,10.27350089,10.8072641,23.68441594
,Min,-10.0310346,-13.92956501,-16.37124184,-13.10509851,-10.0253856,-10.5092995,-13.67420021,-16.37124184
,STD,3.560723246,3.955288403,5.234877122,3.759370541,3.461203495,3.552391427,3.282355097,3.877280549
,Variance,12.67875004,15.64430635,27.40393848,14.13286686,11.97992963,12.61948485,10.77385499,15.03330446
,Range,20.88063154,27.52178103,40.05565778,26.91112636,21.78860967,20.78280039,24.48146431,40.05565778
,Skewness,0.097452785,0.031754099,0.060967186,-0.006392981,0.007876138,-0.126638795,0.036220471,0.080869841
,Kurtosis,2.844649104,3.163628435,4.269707764,3.781022788,3.059328785,2.812832418,3.081042004,4.069448083
Sample24,Net Mean,0.025436859,0.010624289,0.001946417,0.034114501,0.015551646,0.019855428,0.009723918,0.016750437
,Median,-0.013072048,0.083443599,-0.08718285,0.098805702,0.012898586,0.04564149,0.01055566,0.012898586
,Max,9.121522436,8.097476308,13.97050617,8.45142431,8.588709843,7.297059841,9.513154216,13.97050617
,Min,-9.728566207,-9.258265694,-12.10133029,-8.901546686,-8.966200485,-9.130838461,-7.528373812,-12.10133029
,STD,2.800865816,2.909137493,3.565315106,2.574834602,2.57611709,2.582957504,2.554651144,2.815352465
,Variance,7.844849318,8.463080952,12.71147181,6.629773228,6.636379263,6.671669468,6.526242469,7.9262095
,Range,18.85008864,17.355742,26.07183647,17.352971,17.55491033,16.4278983,17.04152803,26.07183646
,Skewness,0.041246789,-0.075093711,0.074996961,-0.075373231,0.003089603,-0.029949461,-0.000976738,0.004104478
,Kurtosis,3.110921847,2.748771066,3.697987871,3.310009527,3.158236907,3.056916025,3.15683594,3.503982227
Sample25,Net Mean,0.025259081,0.008161748,0.017510768,0.026917731,0.030226585,0.029061188,0.021547235,0.022669191
,Median,0.046277554,-0.082129814,0.006942573,-0.05736845,0.072949959,-0.089988923,0.157985582,0.006942573
,Max,15.9958089,14.41360979,12.11334236,10.53881844,12.00340371,12.79393935,9.46321656,15.9958089
,Min,-13.56643316,-21.65598352,-10.90308507,-13.47156157,-10.94227132,-9.110308673,-13.20347537,-21.65598352
,STD,3.501860023,3.994042776,3.585426766,3.078758208,2.899439194,3.119061558,2.993854572,3.330548997
,Variance,12.26302362,15.9523777,12.8552851,9.478752103,8.406747638,9.728545002,8.963165197,11.09255662
,Range,29.56224206,36.0695933,23.01642743,24.01038001,22.94567503,21.90424802,22.66669193,37.65179242
,Skewness,-0.018006265,0.067819676,0.008842626,0.082130043,-0.044205142,0.114505702,-0.136718411,0.014165789
,Kurtosis,4.302113714,6.207195857,3.253018852,3.38452378,3.297806197,3.20649976,3.487874888,4.51053837
Sample26,Net Mean,0.003405967,0.014124489,0.021423901,-0.011349241,0.031891066,0.02049056,0.021909007,0.014556536
,Median,0.178792036,-0.047319933,0.065671527,-0.120612869,0.220964415,0.068673911,0.117479164,0.068673911
,Max,18.78034379,16.26377855,14.45342651,14.25534293,11.19837535,13.98929341,13.06534784,18.78034379
,Min,-17.86617371,-25.55649419,-26.02842327,-20.87416771,-14.15493368,-13.69818599,-15.53492452,-26.02842327
,STD,4.517674495,4.961275577,5.273790199,4.291371769,3.766331546,4.20749091,4.115399482,4.473367522
,Variance,20.40938284,24.61425535,27.81286307,18.41587166,14.18525331,17.70297975,16.9365129,20.01101698
,Range,36.6465175,41.82027274,40.48184978,35.12951064,25.35330904,27.68747941,28.60027236,44.80876706
,Skewness,-0.116466605,0.03715441,-0.025170299,0.076383707,-0.150602792,-0.034355405,-0.069667713,-0.036293044
,Kurtosis,4.265760211,4.837978235,3.740960553,3.563607607,3.264310203,3.142845682,3.168832745,4.053105861
Sample27,Net Mean,0.034910967,0.016131605,0.043645818,0.028875914,0.045504917,0.040362504,0.042879379,0.036044443
,Median,0.153403587,0.091707305,0.071889174,0.16949274,-0.046555711,0.123371966,-0.042481532,0.091707305
,Max,12.09295992,10.42736809,14.22288884,10.0477491,8.992531874,8.76742956,9.337544056,14.22288884
,Min,-15.44193265,-13.87010834,-12.19110864,-11.60013224,-8.245379645,-9.200030002,-9.117574273,-15.44193265
,STD,3.301360398,3.336084401,3.904375357,3.021382523,2.737140906,2.818464772,2.906976657,3.168765785
,Variance,10.89898048,11.12945913,15.24414692,9.128752349,7.491940338,7.943743668,8.450513286,10.0410766
,Range,27.53489256,24.29747642,26.41399748,21.64788134,17.23791152,17.96745956,18.45511833,29.66482149
,Skewness,-0.107676174,-0.06796204,-0.021701312,-0.139621672,0.100901595,-0.08835604,0.088092463,-0.052698305
,Kurtosis,3.967310266,3.541596457,3.397112196,3.218348961,3.133839254,3.055886265,2.991345729,3.613015896
Sample28,Net Mean,0.045123007,0.012673084,0.037744566,0.042982416,0.037288282,0.037667687,0.030931252,0.034915756
,Median,0.182203421,0.070107034,-0.052449133,0.132088419,0.067166916,-0.085559007,0.014191122,0.067166916
,Max,10.50907161,8.636290154,11.74502057,8.536358517,7.460311412,7.196566784,8.031631665,11.74502057
,Min,-7.21488403,-11.8030071,-9.951017683,-7.971162298,-8.939116595,-8.79133376,-7.729138931,-11.8030071
,STD,2.649250849,3.029216718,3.275273833,2.500466886,2.292992778,2.340434848,2.493001385,2.675949615
,Variance,7.018530062,9.176153922,10.72741868,6.25233465,5.25781588,5.477635278,6.215055905,7.16070634
