,,Net Mean,Median,Max,Min,STD,Variance,Range,Skweness,Kurtosis
,S35,5.7560115,5.12482777,48.67162231,-57.6719312,25.75307455,663.2208486,106.3435535,0.073527189,2.186012009
,S36,15.48990736,2.786453185,158.6299152,-75.43215229,41.29571361,1705.335963,234.0620675,0.922864849,2.464798204
,S37,837.4733026,954.7277681,1994.536284,-637.8723149,763.9399215,583604.2037,2632.408599,-0.460459503,1.862947614
,S38,168.3101816,180.4204023,2050.151323,-2427.965403,978.6221608,957701.3337,4478.116726,-0.037124299,2.426151146
,S39,8890.194447,8966.81953,25225.36147,-8172.080125,8308.22297,69026568.93,33397.4416,-0.027668402,2.085563011
,S40,-0.006925258,-0.009609252,0.006390543,-0.012609213,0.005463111,2.98E-05,0.018999757,1.473881964,2.546714636
Batch2,S1,-0.003689396,0.022655946,12.86625203,-18.10116918,3.986157276,15.88944983,30.9674212,-0.019827624,3.492777569
,S2,0.001340437,0.032952982,15.52300542,-18.88676695,4.358791496,18.99906331,34.40977236,-0.021757782,3.623825524
,S3,0.007574749,0.087141996,18.13729298,-17.325625,4.637605871,21.50738821,35.46291798,-0.051470899,3.908265488
,S4,-0.036703959,0.049815466,16.48935678,-26.31622835,4.649681704,21.61953995,42.80558514,-0.055822805,5.195956693
,S5,-0.014582584,0.076186942,9.422024115,-10.39211414,3.434432972,11.79532984,19.81413825,-0.079287784,2.853807989
,S6,0.016659394,-0.042148575,16.64977106,-16.12453346,3.223203133,10.38903843,32.77430451,0.054735584,4.857760027
,S7,-0.009890419,-0.006130494,21.53467976,-16.10190349,3.970881784,15.76790214,37.63658326,-0.002840622,5.060852585
,S8,-0.061242377,-0.003705174,27.38736009,-25.04523057,5.256502662,27.63082024,52.43259066,-0.032837729,5.304745952
,S9,-0.017392584,0.088017259,24.48906767,-15.30090084,4.036993345,16.29731527,39.78996851,-0.078332933,5.403700003
,S10,0.027209062,0.017181418,11.50853901,-9.043080563,2.912160273,8.480677455,20.55161958,0.010330108,3.535671361
,S11,0.020835391,0.152149437,20.45096701,-22.85161047,4.919692475,24.20337405,43.30257748,-0.080074545,4.441906374
,S12,-0.012377377,0.167461144,13.37259956,-16.05670799,4.476537191,20.03938522,29.42930755,-0.120520738,3.200310124
,S13,0.017724138,-0.068774194,17.23306176,-22.31623298,4.614294494,21.29171368,39.54929474,0.056237198,4.115682187
,S14,0.022943273,0.03300669,13.46966612,-16.83948764,4.468713968,19.96940453,30.30915376,-0.006755915,3.173815568
,S15,-0.012545954,-0.008768479,12.81197241,-16.37872555,4.141701791,17.15369372,29.19069796,-0.002736176,3.126928472
,S16,0.009849763,0.119356595,13.33464506,-15.02799515,3.443516171,11.85780362,28.36264021,-0.095402629,4.399237304
,S17,-0.001524947,0.08004123,19.08538171,-19.61370402,4.446470109,19.77109643,38.69908573,-0.055032087,3.916549702
,S18,-0.002606406,-0.066707578,20.28909149,-22.1259644,4.360727022,19.01594016,42.4150559,0.044098958,5.158737278
,S19,-0.008629716,-0.021823398,13.22278641,-13.38704708,3.898438492,15.19782268,26.60983349,0.010153052,3.233962714
,S20,-0.007147984,0.065575339,14.02190182,-15.33251354,4.446594827,19.77220555,29.35441535,-0.049064504,3.122960606
,S21,0.005850757,0.068993158,14.79835945,-22.2177361,4.351555977,18.93603942,37.01609555,-0.043530913,4.030861596
,S22,0.005098118,-0.057162893,10.65209256,-17.93064102,3.863860562,14.92941844,28.58273358,0.048341039,4.175984926
,S23,-0.007961767,-0.049827307,13.59221602,-13.92956501,3.955288403,15.64430635,27.52178103,0.031754099,3.163628435
,S24,0.010624289,0.083443599,8.097476308,-9.258265694,2.909137493,8.463080952,17.355742,-0.075093711,2.748771066
,S25,0.008161748,-0.082129814,14.41360979,-21.65598352,3.994042776,15.9523777,36.0695933,0.067819676,6.207195857
,S26,0.014124489,-0.047319933,16.26377855,-25.55649419,4.961275577,24.61425535,41.82027274,0.03715441,4.837978235
,S27,0.016131605,0.091707305,10.42736809,-13.87010834,3.336084401,11.12945913,24.29747642,-0.06796204,3.541596457
,S28,0.012673084,0.070107034,8.636290154,-11.8030071,3.029216718,9.176153922,20.43929725,-0.056880002,3.402916974
,S29,0.012033175,0.109124658,27.58048656,-28.80681001,5.387918304,29.02966365,56.38729657,-0.054060666,6.724976933
,S30,-0.006783434,0.160936297,9.353967677,-12.62831074,3.4998434,12.24890382,21.98227841,-0.143766202,2.864290661
,S31,0.008599009,0.106095867,19.61551523,-15.97489926,4.806695133,23.1043181,35.59041449,-0.060850661,3.839167961
,S32,-0.014353576,-0.023761119,12.09033774,-14.3324264,4.216109022,17.77557529,26.42276413,0.006693999,2.888267014
,S33,-39.81511198,-47.44148135,36.73023812,-128.831956,34.21815449,1170.882097,165.5621941,0.668624841,2.808178664
,S34,51.70343637,49.91641167,129.1975152,-18.11471262,25.45088479,647.7475364,147.3122278,0.210643918,3.73768308
,S35,-5.523698561,-6.000151674,31.04665487,-51.51569257,16.96997472,287.980042,82.56234745,0.084228725,2.720829852
,S36,-17.56406802,-22.22912559,91.38003949,-72.49465771,31.29491115,979.3714641,163.8746972,0.447202826,2.895257589
,S37,257.331079,319.2179405,3338.209961,-2749.48046,2012.017809,4048215.665,6087.690421,-0.092275816,1.509942029
,S38,118.082003,219.9047043,1999.182667,-2096.934765,921.5746388,849299.8149,4096.117431,-0.331463228,2.002159646
,S39,11504.60199,17383.68379,26748.77582,-16235.9224,13822.92787,191073334.9,42984.69822,-1.275941361,2.136151759
,S40,-0.011630927,-0.010609239,-0.005609303,-0.018609137,0.004043811,1.64E-05,0.012999833,-0.757964401,1.626192281
Batch3,S1,-0.025511297,-0.26080578,16.48110425,-18.24920243,4.82995944,23.32850819,34.73030668,0.146146869,3.520551953
,S2,-0.008206962,-0.189091531,23.65379284,-17.8330531,5.411151389,29.28055935,41.48684594,0.100284333,4.330215785
,S3,0.001261498,-0.007852054,25.9025791,-21.23893949,5.93714066,35.24963922,47.14151859,0.00460502,4.523198855
,S4,-0.048175016,0.039215928,23.57872362,-24.20572931,5.352039381,28.64432554,47.78445294,-0.048985595,4.40110434
,S5,-0.023938324,0.008689071,17.37898408,-13.39944084,3.72194212,13.85285315,30.77842493,-0.026298685,3.952608763
,S6,0.008514093,0.011396463,16.78407325,-16.22552336,4.19449764,17.59381045,33.00959661,-0.002061536,4.012648687
,S7,0.00856887,-0.039201767,12.08338633,-17.4369343,3.892141917,15.1487687,29.52032063,0.036820834,3.544465868
,S8,-0.052276642,0.020370439,19.86463579,-19.93768434,5.395004968,29.1060786,39.80232012,-0.040396857,3.700094351
,S9,0.009091859,-0.089614025,14.6454332,-13.25819551,4.0839169,16.67837725,27.90362871,0.072508247,3.155954801
,S10,0.04374903,0.09926142,15.84011934,-11.902444,3.399016382,11.55331236,27.74256334,-0.048995695,3.92005667
,S11,0.027305456,-0.158330375,19.63192759,-17.93313789,5.510024142,30.36036604,37.56506548,0.101071697,3.5209172
,S12,-0.00581866,0.010085109,25.5057089,-21.40758525,5.784128366,33.45614095,46.91329415,-0.00824866,3.874467739
,S13,0.019816837,-0.021938099,19.93464007,-16.45875062,5.68536503,32.32337552,36.39339068,0.022032852,3.180327863
,S14,0.018821228,-0.153154576,20.48558986,-19.6742102,5.661194801,32.04912658,40.15980006,0.091134015,3.109448833
,S15,-0.016338314,-0.136379183,16.15591026,-19.36109737,5.356182665,28.68869274,35.51700763,0.067234938,2.977812022
,S16,0.030268963,0.000910179,18.22934141,-13.76231428,4.117773453,16.95605821,31.9916557,0.021389315,3.688828172
,S17,-0.029937961,-0.130723655,19.97474169,-19.45822385,5.401852729,29.1800129,39.43296554,0.055972848,3.314765965
,S18,-0.039073268,0.101830396,16.76238261,-14.21450756,4.618750196,21.33285338,30.97689017,-0.091520644,3.192336949
,S19,-0.028695082,-0.025220657,30.63602144,-19.90280888,5.985453564,35.82565437,50.53883032,-0.001741435,5.262790163
,S20,-0.022902045,0.078922592,27.79810904,-25.14080385,5.977051843,35.72514873,52.93891288,-0.05110779,4.541322303
,S21,-0.000928342,0.142786167,15.68189648,-20.78437717,4.667695714,21.78738328,36.46627365,-0.092367531,3.870797044
,S22,0.002182929,0.106933634,14.90956424,-16.9561645,3.81778377,14.57547291,31.86572874,-0.082312707,3.828860225
,S23,-0.01553696,-0.121922201,23.68441594,-16.37124184,5.234877122,27.40393848,40.05565778,0.060967186,4.269707764
,S24,0.001946417,-0.08718285,13.97050617,-12.10133029,3.565315106,12.71147181,26.07183647,0.074996961,3.697987871
,S25,0.017510768,0.006942573,12.11334236,-10.90308507,3.585426766,12.8552851,23.01642743,0.008842626,3.253018852
,S26,0.021423901,0.065671527,14.45342651,-26.02842327,5.273790199,27.81286307,40.48184978,-0.025170299,3.740960553
,S27,0.043645818,0.071889174,14.22288884,-12.19110864,3.904375357,15.24414692,26.41399748,-0.021701312,3.397112196
,S28,0.037744566,-0.052449133,11.74502057,-9.951017683,3.275273833,10.72741868,21.69603826,0.082613275,3.54218386
,S29,0.022328394,0.066874835,22.58826763,-22.23975277,5.848802015,34.20848501,44.8280204,-0.022849008,3.766079053
,S30,0.011343357,-0.008203696,16.8744977,-17.44519521,4.638851305,21.51894143,34.31969291,0.01264131,3.540375411
,S31,0.00672073,0.289559293,23.29722954,-21.67874572,6.035041617,36.42172732,44.97597525,-0.14059815,3.491301484
,S32,-0.014905841,-0.090165345,21.24097533,-19.50713734,5.561496742,30.93024601,40.74811267,0.040596718,3.341653327
,S33,-46.87683938,-49.28522794,48.13646705,-99.64450989,32.74837584,1072.45612,147.7809769,0.220626688,2.558209792
,S34,42.4417076,45.88516912,124.7600234,-14.48971932,27.06893723,732.7273625,139.2497427,-0.38163244,2.370817561
,S35,-3.807555899,-4.078280225,31.3591543,-39.76571428,16.35274441,267.4122497,71.12486858,0.049665852,2.144369778
,S36,-58.90942349,-55.38531433,45.22387477,-120.0258199,28.37935791,805.3879555,165.2496947,-0.372535823,2.807997189
,S37,-780.097469,-998.8747807,1614.944527,-2241.488285,1039.791355,1081166.061,3856.432811,0.631215034,2.882674656
,S38,-81.5202758,-86.03223036,1917.651567,-2124.559714,923.1230921,852156.2431,4042.211281,0.014663119,1.947142086
,S39,-19251.32737,-20070.33678,-12961.06983,-25044.87054,3122.879735,9752377.84,12083.80071,0.786782856,2.108465017
,S40,-0.016186425,-0.015609175,-0.008609265,-0.03160897,0.005468839,2.99E-05,0.022999705,-0.31665748,3.122285854
Batch4,S1,-0.044299276,0.076879194,11.84404429,-12.51362965,3.653599141,13.34878669,24.35767394,-0.099500628,3.11172427
,S2,-0.020971061,-0.151212122,14.03018533,-13.62251443,3.873754919,15.00597717,27.65269976,0.100864198,3.268044542
,S3,-0.007823798,0.021209275,14.21029614,-15.12042502,4.114927829,16.93263104,29.33072116,-0.021166646,3.205408267
,S4,-0.061817866,0.038268808,14.01552262,-15.61329089,3.957884556,15.66485016,29.62881351,-0.075863765,3.504182379
,S5,-0.033487432,0.033723716,13.21491825,-9.735217229,3.080684205,9.490615174,22.95013548,-0.065450865,3.65708903
,S6,0.02399539,-0.001670794,9.317833337,-9.273601628,2.901819141,8.420554328,18.59143497,0.02653458,3.121482657
,S7,0.003353532,0.077899561,11.54953981,-11.42578601,3.220891005,10.37413886,22.97532581,-0.069433609,3.231116505
,S8,-0.07703139,-0.137822549,21.69277973,-20.47123758,4.692853838,22.02287715,42.16401731,0.038861955,3.910839692
,S9,-0.01231748,-0.048289417,10.47756558,-11.03708941,3.323196879,11.0436375,21.51465499,0.032473493,3.024055388
,S10,0.048574801,-0.009977214,9.671217974,-11.46643308,2.565279661,6.580659739,21.13765106,0.068474423,3.86084586
,S11,0.029717044,0.082033674,24.53999995,-17.94933416,4.57983737,20.97491034,42.48933411,-0.034269752,4.869565949
,S12,-0.031170173,-0.247847874,17.32555592,-13.85514676,4.49519684,20.20679463,31.18070268,0.144606149,3.046129634
,S13,0.0318894,-0.139610542,15.4419398,-16.06274524,4.226957398,17.86716884,31.50468504,0.121718716,3.278820945
,S14,0.030745562,-0.028306783,14.62312618,-16.75866372,4.389149523,19.26463354,31.3817899,0.040362497,2.997884918
,S15,-0.002321844,0.096763277,10.90679766,-16.31208154,3.873074938,15.00070948,27.2188792,-0.07674919,2.968448593
,S16,0.050108743,0.088141712,9.708734538,-9.477542082,2.777554803,7.714810682,19.18627662,-0.041078904,3.496491663
,S17,-0.03963588,0.054781278,17.55303616,-17.72084958,4.401070319,19.36941995,35.27388573,-0.064359679,4.084530646
,S18,-0.020650804,0.176261318,13.21448609,-13.55274923,3.969823229,15.75949647,26.76723531,-0.148806718,3.173882724
,S19,0.004070352,-0.107052923,10.8840121,-15.6883223,3.926034992,15.41375075,26.57233441,0.084912597,3.235325048
,S20,-0.007580147,-0.000523019,16.44010765,-17.86605416,4.327455024,18.72686699,34.30616181,-0.004892341,3.9668492
,S21,-0.026339675,0.113665047,12.7068431,-12.33504336,3.649161883,13.31638245,25.04188646,-0.115098803,3.09624306
,S22,-0.008906373,0.018951506,10.40788649,-10.99149914,3.130674594,9.801123417,21.39938564,-0.02669509,3.010218318
,S23,0.019326669,0.027337864,13.80602785,-13.10509851,3.759370541,14.13286686,26.91112636,-0.006392981,3.781022788
,S24,0.034114501,0.098805702,8.45142431,-8.901546686,2.574834602,6.629773228,17.352971,-0.075373231,3.310009527
,S25,0.026917731,-0.05736845,10.53881844,-13.47156157,3.078758208,9.478752103,24.01038001,0.082130043,3.38452378
,S26,-0.011349241,-0.120612869,14.25534293,-20.87416771,4.291371769,18.41587166,35.12951064,0.076383707,3.563607607
,S27,0.028875914,0.16949274,10.0477491,-11.60013224,3.021382523,9.128752349,21.64788134,-0.139621672,3.218348961
,S28,0.042982416,0.132088419,8.536358517,-7.971162298,2.500466886,6.25233465,16.50752082,-0.106907238,3.311015297
,S29,0.027528193,0.01527969,22.97828877,-27.88590858,4.955454827,24.55653254,50.86419735,0.007415164,5.683576628
,S30,-0.002358551,0.016821316,12.92296315,-13.21823046,3.697358864,13.67046257,26.1411936,-0.015562352,3.308115215
,S31,0.01554959,0.158711432,17.22063732,-19.30672784,4.697492739,22.06643803,36.52736516,-0.091428673,3.887351013
,S32,-0.009688845,0.116220849,11.21631453,-17.5360169,4.213801289,17.7561213,28.75233143,-0.089640934,3.149191365
,S33,-102.534587,-103.7851272,-24.20714928,-160.8631468,21.11184952,445.7101904,136.6559975,0.177702132,4.530033058
,S34,20.09647979,13.41647912,170.6349386,-18.36471216,25.31525965,640.8623709,188.9996508,0.79161748,9.638496505
,S35,27.87977704,26.78103775,69.54658374,-14.64076071,22.04646003,486.0464001,84.18734444,0.149512342,1.647654262
,S36,-58.75580506,-56.18218786,36.19264146,-131.7445482,28.93119902,837.0142765,167.9371897,-0.266869396,2.732055338
,S37,4000.473064,4517.150352,5136.944002,1614.944527,1046.85787,1095911.401,3521.999476,-1.480651682,2.580027677
,S38,387.278527,433.5761845,2921.712212,-2184.090854,1075.36415,1156408.055,5105.803066,-0.129159013,1.959605046
,S39,-2407.106053,-1635.558382,11151.35664,-17438.54084,7174.921854,51479503.61,28589.89748,-0.322601843,2.085262794
,S40,-0.062842077,-0.061608585,-0.03160897,-0.084608291,0.017475905,0.000305407,0.052999321,-0.211747166,1.643612489
Batch5,S1,-0.024545818,-0.030027288,12.48853445,-13.78533133,3.559037186,12.66674569,26.27386578,0.004620466,3.24401426
,S2,-0.024466616,-0.040781668,13.18542532,-12.63042494,3.818785174,14.58312021,25.81585026,0.012816944,3.137291252
,S3,-0.002414665,-0.002944419,14.64846142,-14.65585693,3.981875505,15.85533254,29.30431834,0.000399124,3.208597537
,S4,-0.06669624,-0.076205858,14.65798905,-15.0616962,3.926652255,15.41859793,29.71968525,0.007265439,3.722097702
,S5,-0.023931653,-0.126505882,9.320695153,-11.49881587,2.752654439,7.577106458,20.81951102,0.111791252,3.420627237
,S6,0.016744521,0.036266453,9.990188102,-9.263176533,2.823534754,7.972348508,19.25336463,-0.020742013,3.343851044
,S7,-0.00622057,-0.053252383,9.57923731,-12.34378481,2.999292183,8.9957536,21.92302212,0.047042913,3.132630783
,S8,-0.081863798,-0.203357203,17.98524984,-16.88691004,4.60756345,21.22964095,34.87215988,0.079104763,3.496778889
,S9,-0.010969963,-0.031279544,10.27950472,-11.47989653,3.191766741,10.18737493,21.75940125,0.019089347,2.838091188
,S10,0.04019552,0.044114923,7.995655816,-8.021632656,2.369666124,5.61531754,16.01728847,-0.00496197,3.01816151
,S11,0.031169087,0.221302194,11.61036691,-14.99546951,3.842359671,14.76372784,26.60583642,-0.148450267,3.068007423
,S12,-0.017033195,0.102730182,11.25158728,-13.92744904,3.927623249,15.42622439,25.17903632,-0.091477748,2.891855812
,S13,0.013818996,0.145951459,15.98419757,-13.42997542,4.023813535,16.19107536,29.41417299,-0.098512862,3.167703664
,S14,0.0161473,0.116613929,17.97164724,-16.01773026,4.403264368,19.3887371,33.9893775,-0.068449191,3.248925184
,S15,-0.018162888,0.014906441,17.50805713,-14.66602071,4.149146383,17.21541571,32.17407785,-0.023910457,3.528098618
,S16,0.028299699,-0.042907901,9.519528939,-11.60116503,2.875533647,8.268693754,21.12069397,0.074289793,3.659923623
,S17,-0.027556722,-0.179564486,14.10872834,-12.55759849,3.855263438,14.86305617,26.66632683,0.118285897,3.207007927
,S18,-0.019011648,0.090827068,10.85792622,-12.86622416,3.843250414,14.77057374,23.72415039,-0.085738922,3.05754495
,S19,-0.023473173,-0.041734873,12.13281796,-13.29372799,3.874185145,15.00931054,25.42654595,0.014141064,3.251535925
,S20,-0.022956518,-0.035173347,14.00494681,-12.36148337,3.90106248,15.21828848,26.36643019,0.009395001,3.163472638
,S21,0.005435279,-0.059165273,15.27120664,-12.47061202,3.64886243,13.31419703,27.74181866,0.053112897,3.31148867
,S22,0.011807619,0.01188856,10.20986291,-10.23182143,3.047900061,9.289694781,20.44168434,-7.97E-05,3.075351244
,S23,-0.008564005,-0.017650977,11.76322407,-10.0253856,3.461203495,11.97992963,21.78860967,0.007876138,3.059328785
,S24,0.015551646,0.012898586,8.588709843,-8.966200485,2.57611709,6.636379263,17.55491033,0.003089603,3.158236907
,S25,0.030226585,0.072949959,12.00340371,-10.94227132,2.899439194,8.406747638,22.94567503,-0.044205142,3.297806197
,S26,0.031891066,0.220964415,11.19837535,-14.15493368,3.766331546,14.18525331,25.35330904,-0.150602792,3.264310203
,S27,0.045504917,-0.046555711,8.992531874,-8.245379645,2.737140906,7.491940338,17.23791152,0.100901595,3.133839254
,S28,0.037288282,0.067166916,7.460311412,-8.939116595,2.292992778,5.25781588,16.39942801,-0.039091227,3.418331387
,S29,0.032755374,0.121237183,13.53630738,-17.77254473,4.04924293,16.39636831,31.30885212,-0.065554335,3.872112146
,S30,0.010154966,-0.023079895,13.70200356,-10.07265416,3.180438751,10.11519065,23.77465772,0.031349317,3.30136217
,S31,0.01937039,-0.042298297,16.33997066,-14.61429462,4.139797178,17.13792067,30.95426528,0.044689644,3.526222857
,S32,-0.008493775,-0.084682933,15.0698873,-12.86218867,4.12925993,17.05078757,27.93207597,0.055353133,3.34434872
,S33,-166.3053025,-150.2381664,-74.20705689,-257.5192182,44.93215541,2018.898589,183.3121613,-1.072759762,2.097886094
,S34,5.964371575,9.838360727,61.60389008,-47.98965742,26.33078233,693.3100979,109.5935475,-0.441383295,1.881620868
,S35,6.219281043,4.890453203,43.39038207,-26.20323934,13.69421395,187.5314957,69.59362141,0.291107144,2.712350123
,S36,-3.969339454,-5.119782207,76.0050679,-53.7759423,19.22244663,369.5024545,129.7810102,0.179546773,4.286011211
,S37,5962.536461,5666.501722,7790.105309,4004.469193,1134.383346,1286825.575,3785.636116,0.78289603,1.752430484
,S38,1034.116009,1125.293656,2504.212984,-1601.56068,752.0610365,565595.8026,4105.773664,-0.363711093,3.880578406
,S39,12831.02581,12761.43959,22286.92957,2345.826416,4652.28818,21643785.31,19941.10316,0.044872259,2.37272898
,S40,-0.075777675,-0.078608368,-0.058608624,-0.084608291,0.00749087,5.61E-05,0.025999667,1.133657145,2.394868901
Batch6,S1,-0.026924431,-0.036382645,11.36668308,-15.95327691,3.711133989,13.77251549,27.31995999,0.007645814,3.222166032
,S2,-0.01255854,0.03607297,10.76157826,-23.44647746,3.939307638,15.51814467,34.20805571,-0.037035577,4.782822276
,S3,-0.003148977,0.042558468,10.86418155,-13.89867063,3.813967997,14.54635188,24.76285218,-0.035952671,3.032288707
,S4,-0.055252644,-0.154727235,14.40623644,-15.70923185,4.04508598,16.36272058,30.11546829,0.073774395,3.59317937
,S5,-0.026187686,-0.168688544,15.2093899,-13.84049838,3.263529551,10.65062513,29.04988829,0.130993934,4.606620339
,S6,0.014153506,-0.041034187,13.43634527,-9.712153079,3.014136017,9.085015931,23.14849835,0.054928868,3.880597505
,S7,-0.002599042,0.04472838,9.819983937,-8.689820565,3.032872814,9.198317506,18.5098045,-0.046814448,2.971234944
,S8,-0.064077223,0.145011915,14.70529026,-20.33108223,4.667656975,21.78702164,35.03637249,-0.134385928,3.490529426
,S9,-0.018822355,0.066587303,10.37596873,-11.56744584,3.341048758,11.1626068,21.94341457,-0.076691181,3.284291923
,S10,0.035537347,0.055232452,8.677972766,-10.7671395,2.384407534,5.685399291,19.44511227,-0.024779873,3.768044714
,S11,0.01376066,-0.076869021,22.43300734,-17.25633736,4.524390141,20.47010615,39.6893447,0.060094076,4.380679798
,S12,-0.024596136,-0.033310138,13.62975591,-13.07423102,4.478955674,20.06104393,26.70398693,0.005836629,2.801845348
,S13,0.012858275,0.089489947,15.09172695,-15.33380546,4.379219619,19.17756447,30.4255324,-0.0524968,3.204185841
,S14,0.007800418,-0.114098062,14.66004384,-12.5190426,4.532101089,20.53994029,27.17908644,0.080690044,2.827829706
,S15,-0.017739107,-0.070321476,16.46615577,-11.25191265,4.067208086,16.54218162,27.71806842,0.038785108,3.108394133
,S16,0.026377372,0.052160972,10.80175125,-10.1103848,2.866993252,8.219650309,20.91213605,-0.026979764,3.618713506
,S17,-0.018423952,-0.062401408,17.04458409,-20.32804812,4.543608028,20.64437391,37.37263221,0.029036917,3.990622549
,S18,-0.008910143,0.029110953,12.57148209,-12.8504398,3.979646987,15.83759014,25.42192189,-0.02866166,3.107087039
,S19,-0.007330663,0.019053113,12.16275825,-11.1789452,3.902291305,15.22787743,23.34170344,-0.020283296,2.924219796
,S20,-0.000931086,0.138409387,15.58716217,-16.17572522,4.601297547,21.17193911,31.7628874,-0.090848595,3.354131624
,S21,-0.001189969,0.142431018,14.43964517,-17.2078797,4.105761838,16.85728027,31.64752488,-0.104941051,3.663502539
,S22,0.008546102,-0.073339578,10.27651203,-12.24776199,3.248663348,10.55381355,22.52427402,0.075617881,3.005269475
,S23,-0.000464315,0.149492542,10.27350089,-10.5092995,3.552391427,12.61948485,20.78280039,-0.126638795,2.812832418
,S24,0.019855428,0.04564149,7.297059841,-9.130838461,2.582957504,6.671669468,16.4278983,-0.029949461,3.056916025
,S25,0.029061188,-0.089988923,12.79393935,-9.110308673,3.119061558,9.728545002,21.90424802,0.114505702,3.20649976
,S26,0.02049056,0.068673911,13.98929341,-13.69818599,4.20749091,17.70297975,27.68747941,-0.034355405,3.142845682
,S27,0.040362504,0.123371966,8.76742956,-9.200030002,2.818464772,7.943743668,17.96745956,-0.08835604,3.055886265
,S28,0.037667687,-0.085559007,7.196566784,-8.79133376,2.340434848,5.477635278,15.98790054,0.157953588,3.01826696
,S29,0.028223413,-0.016007038,23.72803776,-14.75132393,4.777778634,22.82716868,38.47936169,0.027772604,4.134061301
